bairro,grau,ordem_ego,tamanho_ego,densidade_ego
recife,2,3,6,1.00
santo amaro,10,8,26,0.46
santo antonio,6,6,18,0.60
soledade,4,4,10,0.83
boa vista,10,10,38,0.42
espinheiro,6,7,26,0.62
torreao,4,5,16,0.80
campo grande,8,8,28,0.50
coelhos,5,6,20,0.67
gracas,11,12,46,0.35
derby,5,6,22,0.73
paissandu,6,7,26,0.62
ilha do leite,5,5,16,0.80
cabanga,3,4,10,0.83
afogados,10,11,40,0.36
sao jose,6,7,22,0.52
pina,5,6,14,0.47
ilha joana bezerra,6,7,24,0.57
madalena,7,8,30,0.54
ilha do retiro,6,7,26,0.62
arruda,8,9,32,0.44
agua fria,8,9,32,0.44
campina do barreto,5,6,18,0.60
peixinhos,3,4,10,0.83
ponto de parada,6,7,26,0.62
tamarineira,9,10,38,0.42
mangabeira,5,6,22,0.73
bomba do hemeterio,5,6,20,0.67
cajueiro,3,4,10,0.83
fundao,4,5,16,0.80
hipodromo,3,4,12,1.00
encruzilhada,8,9,38,0.53
rosarinho,5,6,22,0.73
aflitos,4,5,18,0.90
linha do tiro,6,7,24,0.57
beberibe,4,5,14,0.70
porto da madeira,4,5,14,0.70
alto santa teresinha,6,7,26,0.62
alto jose bonifacio,6,7,26,0.62
alto jose do pinho,7,8,32,0.57
morro da conceicao,5,6,22,0.73
dois unidos,4,5,14,0.70
vasco da gama,5,6,20,0.67
casa amarela,11,12,46,0.35
alto do mandu,4,5,14,0.70
monteiro,5,6,20,0.67
poco da panela,5,6,18,0.60
casa forte,4,5,16,0.80
parnamirim,6,7,22,0.52
apipucos,6,7,20,0.48
dois irmaos,5,6,14,0.47
santana,5,6,16,0.53
sitio dos pintos,2,3,6,1.00
jaqueira,4,5,14,0.70
brejo da guabiraba,5,6,18,0.60
guabiraba,4,5,10,0.50
passarinho,4,5,14,0.70
brejo de beberibe,7,8,28,0.50
nova descoberta,7,8,26,0.46
corrego do jenipapo,4,5,12,0.60
macaxeira,3,4,8,0.67
pau-ferro,1,2,2,1.00
cordeiro,9,9,28,0.39
engenho do meio,5,6,18,0.60
iputinga,8,9,30,0.42
torre,5,6,16,0.53
zumbi,4,5,16,0.80
prado,7,8,28,0.50
san martin,10,10,34,0.38
torroes,3,4,10,0.83
cidade universitaria,4,5,16,0.80
varzea,4,5,14,0.70
caxanga,5,6,18,0.60
bongi,4,5,16,0.80
curado,8,9,26,0.36
mustardinha,5,6,24,0.80
imbiribeira,7,8,28,0.50
jiquia,7,8,32,0.57
mangueira,4,5,18,0.90
estância,4,5,14,0.70
areias,8,9,36,0.50
ibura,8,9,36,0.50
barro,5,6,18,0.60
cacote,3,4,12,1.00
jardim sao paulo,5,6,18,0.60
ipsep,4,5,18,0.90
tejipio,5,6,18,0.60
cohab,3,4,10,0.83
coqueiral,3,4,10,0.83
toto,3,4,10,0.83
sancho,4,5,16,0.80
boa viagem,5,6,16,0.53
jordao,3,4,10,0.83
brasilia teimosa,1,2,2,1.00
setubal,1,2,2,1.00
